user_id,name,email,phone,age,gender,location,neighborhood,postcode,income_level,family_status,total_interactions,properties_viewed,events_tracked,total_inspections,unique_properties_inspected,total_crm_interactions,agents_contacted,most_frequent_tags,unique_tags_viewed,most_liked_feature,avg_condition_rating,avg_agent_interaction_rating,avg_inspection_satisfaction,avg_likelihood_to_buy,engagement_score,inspection_score,crm_score,property_preference_score,total_lead_score
16,Edward Zhang,prestonkennedy@example.net,917.770.4423x98299,55,Female,"Sydney, Bondi Beach, 2026",Bondi Beach,2026,High,Married,8.0,6.0,4.0,1.0,1.0,0.0,0.0,Luxury,3.0,"Price, Balcony",4.0,2.0,5.0,4.0,160.0,170.0,0.0,15.0,46.15384615384615
17,Alexandria Reynolds,georgediana@example.net,001-567-253-0619x134,46,Male,"Sydney, Surry Hills, 2010",Surry Hills,2010,Medium,With Kids,16.0,14.0,3.0,2.0,2.0,0.0,0.0,Investment,3.0,Garage,3.0,3.5,3.5,1.5,315.0,157.5,0.0,15.0,65.21739130434783
18,William Robertson,hweber@example.org,+1-597-550-2426x92603,21,Female,"Sydney, Parramatta, 2150",Parramatta,2150,Low,With Kids,10.0,6.0,4.0,1.0,1.0,2.0,2.0,Luxury,3.0,"Living Space, Neighborhood, Garage",2.0,3.0,3.0,5.0,180.0,160.0,50.0,15.0,54.18060200668896
19,Katrina Hutchinson,aesparza@example.org,746.378.7370x508,58,Male,"Sydney, Bondi Beach, 2026",Bondi Beach,2026,Medium,Single,1.0,0.0,1.0,2.0,2.0,0.0,0.0,None,0.0,"Living Space, Bedrooms, Kitchen",3.0,3.0,2.5,3.0,15.0,172.5,0.0,0.0,25.08361204013378
20,Michelle Charles,bellgordon@example.com,815.546.1511,43,Male,"Sydney, Bondi Beach, 2026",Bondi Beach,2026,Medium,With Kids,12.0,11.0,4.0,2.0,2.0,0.0,0.0,Investment,3.0,Garage,3.5,2.5,3.0,4.5,250.0,200.0,0.0,15.0,62.207357859531776
21,Michael Bowers,jennifervalenzuela@example.net,001-617-905-7867x92963,48,Female,"Sydney, Parramatta, 2150",Parramatta,2150,Medium,Single,10.0,8.0,4.0,2.0,2.0,0.0,0.0,Investment,2.0,"Bathrooms, Balcony, Living Space",1.5,3.0,2.0,1.5,200.0,132.5,0.0,10.0,45.819397993311036
22,Alexa Thomas,william67@example.com,580-284-5423,56,Female,"Sydney, Chatswood, 2067",Chatswood,2067,Low,Married,3.0,1.0,2.0,3.0,3.0,0.0,0.0,Luxury,1.0,Bathrooms,4.0,3.6666666666666665,3.6666666666666665,3.0,50.0,226.66666666666669,0.0,5.0,37.68115942028986
23,John Gilmore,teresa79@example.org,(836)699-8626,41,Male,"Sydney, Surry Hills, 2010",Surry Hills,2010,High,Single,10.0,7.0,4.0,3.0,3.0,2.0,2.0,Investment,3.0,"Bathrooms, Neighborhood",2.3333333333333335,3.3333333333333335,3.3333333333333335,3.0,190.0,206.66666666666666,50.0,15.0,61.76142697881828
24,Henry Roberson,steveleblanc@example.com,362.655.9568,23,Male,"Sydney, Paddington, 2021",Paddington,2021,Low,Married,10.0,8.0,4.0,1.0,1.0,1.0,1.0,Affordable,3.0,"Living Space, Balcony, Kitchen",1.0,2.0,3.0,1.0,200.0,85.0,25.0,15.0,43.47826086956522
25,Alexis Morris,mollysanders@example.com,001-691-443-0655x00035,58,Male,"Sydney, Parramatta, 2150",Parramatta,2150,Low,With Kids,13.0,9.0,4.0,2.0,2.0,1.0,1.0,Investment,3.0,Garage,3.0,2.0,3.0,2.5,240.0,162.5,25.0,15.0,59.19732441471572
26,Allison Burke MD,travissanchez@example.com,2159151371,36,Male,"Sydney, Sydney CBD, 2000",Sydney CBD,2000,High,Single,5.0,3.0,2.0,2.0,2.0,0.0,0.0,Investment,2.0,"Garage, Kitchen, Bedrooms",3.0,1.5,2.5,3.5,90.0,172.5,0.0,10.0,36.45484949832776
27,Dillon Allison,carlos61@example.com,001-589-461-2162x034,50,Male,"Sydney, North Sydney, 2060",North Sydney,2060,Medium,Married,13.0,8.0,4.0,3.0,3.0,0.0,0.0,Luxury,3.0,"Balcony, Garage, Neighborhood",2.6666666666666665,3.0,3.3333333333333335,1.6666666666666667,230.0,188.33333333333331,0.0,15.0,57.971014492753625
28,Emily Roberts,ffowler@example.net,+1-910-667-5497x38660,24,Male,"Sydney, Parramatta, 2150",Parramatta,2150,High,Single,15.0,11.0,4.0,4.0,3.0,0.0,0.0,Luxury,3.0,Bathrooms,4.0,2.25,3.5,3.25,280.0,242.5,0.0,15.0,71.90635451505017
29,Shannon Thompson,xcampos@example.com,485-731-9330,55,Female,"Sydney, Bondi Beach, 2026",Bondi Beach,2026,Low,Single,1.0,1.0,1.0,3.0,3.0,0.0,0.0,Luxury,1.0,"Bedrooms, Garage",2.6666666666666665,4.666666666666667,2.6666666666666665,3.3333333333333335,25.0,218.33333333333334,0.0,5.0,33.22185061315496
30,Stephen Pratt,monica03@example.org,413-715-6365,28,Male,"Sydney, North Sydney, 2060",North Sydney,2060,Medium,Married,0.0,0.0,0.0,2.0,2.0,0.0,0.0,None,0.0,"Bedrooms, Living Space, Price",4.0,3.0,4.0,2.5,0.0,182.5,0.0,0.0,24.414715719063544
31,Joyce Williams,thomasmason@example.com,647.598.0594x051,44,Male,"Sydney, Manly, 2095",Manly,2095,Low,Married,0.0,0.0,0.0,3.0,2.0,0.0,0.0,None,0.0,"Bedrooms, Bathrooms",5.0,3.0,3.0,3.3333333333333335,0.0,220.0,0.0,0.0,29.431438127090303
32,Eric Webb,alansilva@example.com,(305)413-3650x7405,49,Male,"Sydney, Sydney CBD, 2000",Sydney CBD,2000,High,With Kids,0.0,0.0,0.0,1.0,1.0,0.0,0.0,None,0.0,"Neighborhood, Living Space, Balcony",4.0,2.0,3.0,2.0,0.0,130.0,0.0,0.0,17.391304347826086
33,Elizabeth Rice,jack70@example.org,001-603-218-4595x5719,38,Female,"Sydney, Parramatta, 2150",Parramatta,2150,High,Married,10.0,7.0,4.0,4.0,4.0,0.0,0.0,Affordable,3.0,Balcony,1.5,3.5,1.5,3.25,190.0,228.75,0.0,15.0,58.026755852842804
34,Nicole Montgomery PhD,danielleking@example.net,646.702.8414x159,31,Male,"Sydney, Bondi Beach, 2026",Bondi Beach,2026,Medium,Single,7.0,6.0,4.0,2.0,2.0,0.0,0.0,Investment,3.0,"Bathrooms, Price, Balcony",1.5,2.0,3.0,3.5,150.0,162.5,0.0,15.0,43.812709030100336
35,Matthew Chapman,kathleen62@example.org,001-763-586-7464x9932,23,Female,"Sydney, North Sydney, 2060",North Sydney,2060,Low,With Kids,4.0,3.0,3.0,1.0,1.0,0.0,0.0,Luxury,1.0,"Living Space, Price, Kitchen",4.0,3.0,1.0,3.0,85.0,140.0,0.0,5.0,30.76923076923077
36,Diana Miller,kimberly77@example.com,8467656458,40,Female,"Sydney, Paddington, 2021",Paddington,2021,Low,Single,17.0,10.0,4.0,2.0,2.0,0.0,0.0,Affordable,3.0,"Bathrooms, Kitchen",3.0,2.5,1.5,3.0,290.0,165.0,0.0,15.0,62.87625418060201
37,Gina Zuniga,stephanie95@example.com,+1-670-298-0162x309,53,Female,"Sydney, Bondi Beach, 2026",Bondi Beach,2026,Low,Married,0.0,0.0,0.0,2.0,2.0,1.0,1.0,None,0.0,"Balcony, Garage, Living Space",3.0,3.0,3.5,2.5,0.0,170.0,25.0,0.0,26.08695652173913
38,Benjamin Jackson,goodkathleen@example.net,(906)939-5129,47,Male,"Sydney, Chatswood, 2067",Chatswood,2067,Medium,Single,3.0,3.0,2.0,4.0,4.0,0.0,0.0,Investment,2.0,"Bathrooms, Bedrooms",3.5,2.0,4.25,3.0,70.0,251.25,0.0,10.0,44.314381270903006
39,Susan Cantrell,maxwell46@example.org,001-318-731-0884x275,33,Female,"Sydney, Darlinghurst, 2010",Darlinghurst,2010,Low,With Kids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,,,,,0.0,,0.0,0.0,
40,Ashley Perkins,hunttanya@example.com,765.276.5697x361,32,Female,"Sydney, Paddington, 2021",Paddington,2021,Low,Married,0.0,0.0,0.0,1.0,1.0,0.0,0.0,None,0.0,"Kitchen, Garage",5.0,4.0,3.0,4.0,0.0,180.0,0.0,0.0,24.08026755852843
41,Stephanie Love,johnmckee@example.org,001-415-420-8022x8359,43,Female,"Sydney, Surry Hills, 2010",Surry Hills,2010,High,Single,0.0,0.0,0.0,4.0,4.0,1.0,1.0,None,0.0,"Garage, Living Space",2.0,4.0,3.5,2.75,0.0,238.75,25.0,0.0,35.28428093645485
42,Marcus Shepherd,gregory17@example.org,534-219-3389x876,48,Male,"Sydney, Bondi Beach, 2026",Bondi Beach,2026,Medium,With Kids,9.0,5.0,3.0,1.0,1.0,0.0,0.0,Affordable,3.0,"Bathrooms, Balcony",1.0,3.0,5.0,3.0,155.0,130.0,0.0,15.0,40.13377926421405
43,Brenda Rollins,ortegacorey@example.com,513.789.6981x88217,25,Male,"Sydney, Paddington, 2021",Paddington,2021,High,With Kids,0.0,0.0,0.0,3.0,3.0,2.0,2.0,None,0.0,"Balcony, Kitchen, Bathrooms",4.0,3.0,1.6666666666666667,3.3333333333333335,0.0,218.33333333333334,50.0,0.0,35.897435897435905
44,Robert York,victoria67@example.com,(683)699-4398x743,56,Male,"Sydney, Darlinghurst, 2010",Darlinghurst,2010,Low,Single,6.0,6.0,3.0,2.0,2.0,1.0,1.0,Investment,3.0,Neighborhood,3.5,4.0,3.5,3.5,135.0,195.0,25.0,15.0,49.49832775919732
45,Michael Holloway,pmiller@example.com,688.508.4024,46,Female,"Sydney, Sydney CBD, 2000",Sydney CBD,2000,Low,Single,10.0,6.0,4.0,3.0,3.0,1.0,1.0,Affordable,3.0,"Bathrooms, Balcony, Living Space",4.0,3.0,3.3333333333333335,2.3333333333333335,180.0,211.66666666666666,25.0,15.0,57.74804905239688
46,Austin Chung,amanda89@example.org,(354)672-4579x11151,27,Female,"Sydney, Chatswood, 2067",Chatswood,2067,High,With Kids,5.0,3.0,3.0,2.0,2.0,0.0,0.0,Affordable,2.0,"Bathrooms, Bedrooms, Price",3.0,3.0,2.5,3.0,95.0,172.5,0.0,10.0,37.12374581939799
47,Mr. Bobby Sims,leonardmichael@example.org,734.854.7317x103,51,Female,"Sydney, Newtown, 2042",Newtown,2042,High,With Kids,0.0,0.0,0.0,5.0,5.0,1.0,1.0,None,0.0,"Bedrooms, Living Space, Balcony",4.0,4.2,2.6,3.0,0.0,294.0,25.0,0.0,42.675585284280935
48,Richard Kennedy,brandonjones@example.com,+1-906-300-0899x35744,51,Female,"Sydney, Newtown, 2042",Newtown,2042,Low,With Kids,0.0,0.0,0.0,3.0,3.0,0.0,0.0,None,0.0,"Bathrooms, Bedrooms",2.0,2.0,3.6666666666666665,2.0,0.0,183.33333333333334,0.0,0.0,24.52619843924192
49,Cory Bass,ricardogarcia@example.com,001-486-720-4986x16408,59,Male,"Sydney, Chatswood, 2067",Chatswood,2067,Medium,Single,0.0,0.0,0.0,3.0,3.0,2.0,2.0,None,0.0,Bathrooms,2.3333333333333335,2.6666666666666665,3.3333333333333335,4.0,0.0,218.33333333333334,50.0,0.0,35.897435897435905
50,Paul Miles,humphreyandrew@example.com,4609742789,20,Female,"Sydney, Sydney CBD, 2000",Sydney CBD,2000,Low,Married,0.0,0.0,0.0,4.0,4.0,1.0,1.0,None,0.0,Bedrooms,3.0,3.25,3.25,4.75,0.0,273.75,25.0,0.0,39.96655518394649
51,Samuel Stevens,beththompson@example.net,201-737-7722x467,22,Male,"Sydney, North Sydney, 2060",North Sydney,2060,Medium,Married,0.0,0.0,0.0,1.0,1.0,1.0,1.0,None,0.0,"Bedrooms, Kitchen",1.0,4.0,3.0,3.0,0.0,125.0,25.0,0.0,20.066889632107024
52,Jessica Pruitt,humphreygregory@example.net,001-410-748-7375,49,Male,"Sydney, Manly, 2095",Manly,2095,Medium,Single,13.0,12.0,4.0,2.0,2.0,0.0,0.0,Investment,3.0,"Bedrooms, Garage",4.0,3.0,3.0,2.5,270.0,177.5,0.0,15.0,61.87290969899666
53,Wayne Cooper,daniel86@example.org,337.889.0277,43,Female,"Sydney, Darlinghurst, 2010",Darlinghurst,2010,Low,With Kids,7.0,6.0,4.0,2.0,2.0,1.0,1.0,Luxury,2.0,"Bathrooms, Neighborhood",1.0,4.5,3.0,5.0,150.0,192.5,25.0,10.0,50.50167224080268
54,Joshua Morton,keithschroeder@example.org,(497)345-1082x204,31,Female,"Sydney, Parramatta, 2150",Parramatta,2150,Low,With Kids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,,,,,0.0,,0.0,0.0,
55,Tara Turner,yeseniaknox@example.org,558-434-5166x776,49,Male,"Sydney, Parramatta, 2150",Parramatta,2150,Low,Single,0.0,0.0,0.0,3.0,3.0,0.0,0.0,None,0.0,"Balcony, Kitchen",1.6666666666666667,4.0,2.6666666666666665,3.6666666666666665,0.0,210.00000000000003,0.0,0.0,28.093645484949835
56,Nathan Wilson,garneredward@example.org,(276)589-4278x69767,32,Male,"Sydney, North Sydney, 2060",North Sydney,2060,Low,With Kids,0.0,0.0,0.0,1.0,1.0,0.0,0.0,None,0.0,"Garage, Bathrooms, Neighborhood",1.0,5.0,1.0,2.0,0.0,105.0,0.0,0.0,14.046822742474916
57,Robert Hamilton,tmiller@example.org,221.236.4192x428,35,Male,"Sydney, Bondi Beach, 2026",Bondi Beach,2026,Medium,With Kids,3.0,1.0,2.0,0.0,0.0,0.0,0.0,Luxury,1.0,None,,,,,50.0,,0.0,5.0,
58,John Lang,rsimpson@example.org,(997)338-1280x707,27,Male,"Sydney, Manly, 2095",Manly,2095,Medium,Single,5.0,3.0,3.0,1.0,1.0,0.0,0.0,Affordable,3.0,"Bedrooms, Kitchen",3.0,5.0,2.0,4.0,95.0,160.0,0.0,15.0,36.12040133779264
59,Dave Booker,ricegregory@example.com,416-786-3280,57,Male,"Sydney, Darlinghurst, 2010",Darlinghurst,2010,Low,With Kids,4.0,4.0,1.0,0.0,0.0,0.0,0.0,Investment,2.0,None,,,,,85.0,,0.0,10.0,
60,Rebecca Carter,laurawright@example.net,760-420-4724x4833,50,Male,"Sydney, Sydney CBD, 2000",Sydney CBD,2000,Low,Single,0.0,0.0,0.0,1.0,1.0,0.0,0.0,None,0.0,"Bedrooms, Bathrooms, Neighborhood",1.0,5.0,5.0,5.0,0.0,170.0,0.0,0.0,22.74247491638796
61,Katie Rodriguez,sarahjohnson@example.net,351.701.4837x815,27,Female,"Sydney, Sydney CBD, 2000",Sydney CBD,2000,Medium,With Kids,8.0,7.0,4.0,0.0,0.0,0.0,0.0,Luxury,3.0,None,,,,,170.0,,0.0,15.0,
62,David Nelson,opowell@example.net,(741)669-0893,49,Female,"Sydney, Paddington, 2021",Paddington,2021,Medium,Single,4.0,2.0,3.0,0.0,0.0,1.0,1.0,Investment,1.0,None,,,,,75.0,,25.0,5.0,
63,Amanda Norman,walshcathy@example.com,+1-893-744-2411,48,Male,"Sydney, Chatswood, 2067",Chatswood,2067,Low,Single,4.0,4.0,3.0,2.0,2.0,1.0,1.0,Investment,3.0,"Bathrooms, Kitchen, Price",2.5,5.0,3.0,2.5,95.0,172.5,25.0,15.0,41.1371237458194
64,Lisa Mayer,dchambers@example.org,+1-202-446-6124,36,Female,"Sydney, Paddington, 2021",Paddington,2021,Low,Single,6.0,5.0,4.0,3.0,3.0,0.0,0.0,Investment,3.0,Balcony,2.3333333333333335,3.0,3.3333333333333335,2.3333333333333335,130.0,195.0,0.0,15.0,45.48494983277592
65,Francis Zimmerman,mreed@example.net,(730)232-6219,36,Female,"Sydney, Surry Hills, 2010",Surry Hills,2010,High,With Kids,8.0,7.0,2.0,0.0,0.0,0.0,0.0,Affordable,3.0,None,,,,,160.0,,0.0,15.0,
66,James Parsons,martineztammy@example.net,402.694.6370x7748,30,Male,"Sydney, Parramatta, 2150",Parramatta,2150,Medium,Single,0.0,0.0,0.0,5.0,4.0,1.0,1.0,None,0.0,Bathrooms,3.4,2.6,3.0,2.4,0.0,258.0,25.0,0.0,37.85953177257525
67,Brian Myers,darren68@example.com,533.586.6867x21751,49,Male,"Sydney, Surry Hills, 2010",Surry Hills,2010,High,With Kids,16.0,12.0,4.0,2.0,2.0,0.0,0.0,Luxury,3.0,Kitchen,3.5,2.0,3.0,1.5,300.0,152.5,0.0,15.0,62.54180602006689
68,Sara Reeves,christopher84@example.org,9812399213,27,Male,"Sydney, Bondi Beach, 2026",Bondi Beach,2026,High,Single,10.0,9.0,4.0,2.0,2.0,1.0,1.0,Affordable,3.0,"Bedrooms, Neighborhood",3.0,4.0,4.0,4.5,210.0,207.5,25.0,15.0,61.20401337792642
69,Jaime Estrada,oroth@example.net,+1-825-313-2899x7739,30,Male,"Sydney, Paddington, 2021",Paddington,2021,Medium,Single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,,,,,0.0,,0.0,0.0,
70,Lawrence Sanchez,mkoch@example.org,205-670-3451x698,59,Male,"Sydney, Darlinghurst, 2010",Darlinghurst,2010,Low,Married,7.0,4.0,4.0,3.0,3.0,0.0,0.0,Affordable,3.0,"Balcony, Bathrooms, Garage",4.0,3.0,3.3333333333333335,2.6666666666666665,130.0,216.66666666666666,0.0,15.0,48.3835005574136
71,Sandra Stewart,harrellnicholas@example.net,001-347-707-0727x531,38,Female,"Sydney, Manly, 2095",Manly,2095,Medium,Single,15.0,8.0,4.0,1.0,1.0,1.0,1.0,Investment,3.0,Neighborhood,3.0,3.0,1.0,4.0,250.0,145.0,25.0,15.0,58.19397993311036
72,Bryan Hubbard,shafferderek@example.com,+1-717-477-3382,43,Female,"Sydney, Parramatta, 2150",Parramatta,2150,Low,With Kids,6.0,4.0,4.0,2.0,2.0,0.0,0.0,Affordable,3.0,"Balcony, Bathrooms, Kitchen",4.5,2.0,1.5,4.5,120.0,200.0,0.0,15.0,44.81605351170568
73,Aaron Wilkins,tinareese@example.net,(921)922-7547,44,Female,"Sydney, Sydney CBD, 2000",Sydney CBD,2000,Medium,Married,10.0,8.0,4.0,3.0,3.0,2.0,1.0,Investment,2.0,Balcony,2.3333333333333335,3.6666666666666665,4.0,3.3333333333333335,200.0,216.66666666666669,40.0,10.0,62.43032329988852
74,Stephen Carey,churchmichelle@example.org,666-216-0040,29,Female,"Sydney, Chatswood, 2067",Chatswood,2067,Medium,Single,0.0,0.0,0.0,4.0,3.0,0.0,0.0,None,0.0,Price,2.5,2.0,3.25,2.75,0.0,217.5,0.0,0.0,29.09698996655518
75,Tonya Robinson,lhughes@example.net,(809)971-7081,58,Male,"Sydney, Bondi Beach, 2026",Bondi Beach,2026,High,Single,11.0,5.0,4.0,1.0,1.0,1.0,1.0,Luxury,2.0,"Living Space, Bedrooms",3.0,5.0,2.0,5.0,180.0,175.0,25.0,10.0,52.17391304347826
76,Anna Hayes,anna91@example.com,001-638-742-3849x2638,56,Male,"Sydney, Sydney CBD, 2000",Sydney CBD,2000,High,Married,8.0,5.0,3.0,2.0,2.0,0.0,0.0,Affordable,3.0,Balcony,1.0,4.0,3.0,2.0,145.0,145.0,0.0,15.0,40.802675585284284
77,John Mcclure,dsimmons@example.com,524.413.6599,46,Female,"Sydney, Manly, 2095",Manly,2095,High,Single,0.0,0.0,0.0,1.0,1.0,0.0,0.0,None,0.0,"Neighborhood, Living Space",4.0,4.0,3.0,1.0,0.0,125.0,0.0,0.0,16.722408026755854
78,David Collins,njones@example.org,+1-700-316-3683x39419,35,Female,"Sydney, Chatswood, 2067",Chatswood,2067,Medium,Single,3.0,2.0,2.0,3.0,3.0,0.0,0.0,Affordable,1.0,Bathrooms,3.3333333333333335,3.3333333333333335,2.6666666666666665,4.333333333333333,60.0,233.33333333333334,0.0,5.0,39.9108138238573
79,Erik Brown,larrythompson@example.org,319-659-6836,49,Male,"Sydney, Parramatta, 2150",Parramatta,2150,High,With Kids,10.0,8.0,3.0,3.0,3.0,1.0,1.0,Affordable,3.0,"Balcony, Neighborhood, Garage",2.3333333333333335,4.0,3.6666666666666665,2.0,195.0,196.66666666666669,25.0,15.0,57.74804905239688
80,Brandon Walter,lorraine21@example.com,389-525-7362,21,Male,"Sydney, Manly, 2095",Manly,2095,Medium,With Kids,14.0,10.0,4.0,2.0,2.0,0.0,0.0,Luxury,3.0,"Garage, Bathrooms, Bedrooms",4.0,2.0,1.5,3.5,260.0,180.0,0.0,15.0,60.86956521739131
81,Daniel Mcdonald,brian91@example.net,9908756411,22,Male,"Sydney, Newtown, 2042",Newtown,2042,Low,Single,10.0,8.0,4.0,3.0,3.0,2.0,2.0,Investment,2.0,"Bathrooms, Garage",3.3333333333333335,2.6666666666666665,2.0,1.3333333333333333,200.0,181.66666666666669,50.0,10.0,59.08584169453734
82,Laura Mcdaniel,julia69@example.net,+1-840-492-3067x45687,49,Female,"Sydney, Newtown, 2042",Newtown,2042,High,Married,18.0,9.0,4.0,0.0,0.0,1.0,1.0,Affordable,3.0,None,,,,,290.0,,25.0,15.0,
83,Todd Park,janet75@example.org,846-682-4943x3104,54,Male,"Sydney, Parramatta, 2150",Parramatta,2150,Medium,With Kids,24.0,13.0,4.0,2.0,2.0,1.0,1.0,Affordable,3.0,"Garage, Living Space",1.0,4.0,3.5,1.0,390.0,132.5,25.0,15.0,75.25083612040135
84,Angela Rodriguez,alexa69@example.com,230-646-0758,39,Female,"Sydney, Manly, 2095",Manly,2095,Medium,With Kids,1.0,0.0,1.0,4.0,4.0,1.0,1.0,None,0.0,"Bathrooms, Kitchen, Garage",2.0,2.75,3.25,3.25,15.0,238.75,25.0,0.0,37.29096989966555
85,Joseph Burgess,steven43@example.com,672.602.6882x783,55,Male,"Sydney, Paddington, 2021",Paddington,2021,Low,With Kids,12.0,8.0,4.0,1.0,1.0,2.0,2.0,Luxury,3.0,Bathrooms,3.0,1.0,1.0,2.0,220.0,105.0,50.0,15.0,52.17391304347826
86,Angel Heath,amberyu@example.com,+1-545-977-3956x292,45,Female,"Sydney, Surry Hills, 2010",Surry Hills,2010,High,With Kids,0.0,0.0,0.0,1.0,1.0,0.0,0.0,None,0.0,Bathrooms,1.0,2.0,5.0,3.0,0.0,125.0,0.0,0.0,16.722408026755854
87,Jason Warren,theresatapia@example.net,651-520-9167,34,Male,"Sydney, Manly, 2095",Manly,2095,High,Married,16.0,12.0,4.0,1.0,1.0,0.0,0.0,Luxury,3.0,"Bathrooms, Neighborhood",2.0,1.0,5.0,2.0,300.0,115.0,0.0,15.0,57.52508361204013
88,Joseph Benton,cynthiarogers@example.com,001-623-557-3281x556,44,Female,"Sydney, North Sydney, 2060",North Sydney,2060,Low,With Kids,5.0,2.0,2.0,4.0,3.0,0.0,0.0,Investment,2.0,Bedrooms,3.75,2.25,2.75,4.0,80.0,247.5,0.0,10.0,45.1505016722408
