Property ID,Name,Company,Email Address,Phone Number,Zip Code,Address,City,State,Suburb,Latitude,Longitude,Did you find what you were looking for,Overall Condition of the Property,Interaction with the agent,Satisfaction with the inspection process,Likelihood to Buy or Rent,What did you like most?,How well did the property meet your needs?,View Similar Properties,Additional Comments
9,Christopher Dean,"Brown, Lyons and Murray",coryjohnson@example.net,0360845931,0981,Level 0 06 Lori Mall,Sydney,NSW,Parramatta,-33.814,151.0031,0,3,5,2,2,"Price, Bathrooms, Bedrooms",2,1,The backyard is spacious and perfect for entertaining guests.
1,Kara Sanchez,Thomas-Garcia,jamesbaker@example.org,(08).1303.8304,2710,09/5 Long Ground,Sydney,NSW,Newtown,-33.8971,151.1796,0,1,3,1,4,Garage,1,0,The balcony offers stunning views of the surrounding area.
6,Dennis Myers,Conner-Mason,longkenneth@example.org,0423-580-693,2111,068/85 Lindsey Approach,Sydney,NSW,Parramatta,-33.814,151.0031,1,1,4,3,1,Kitchen,3,1,The price seems reasonable for the area and the amenities offered.
11,Eric Brown,Wallace-Waters,kennedychristopher@example.org,+61312848370,2917,7 Franklin Viaduct,Sydney,NSW,Cronulla,-34.0527,151.1523,1,3,2,3,1,"Living Space, Price",2,1,The backyard is spacious and perfect for entertaining guests.
9,Jacqueline Buchanan,Alvarez Inc,deborahnelson@example.net,02 8205 3403,2952,Suite 346 89 Chambers Foreshore,Sydney,NSW,Newtown,-33.8971,151.1796,0,2,3,5,1,"Price, Neighborhood",4,0,"The property is in a great location, close to shops and public transport."
8,Sonya Ramsey,Sanchez-Fisher,manuel53@example.org,9091-1240,2655,80 Kramer Port,Sydney,NSW,Penrith,-33.751,150.6949,1,5,4,1,4,Living Space,2,1,The open-plan living space makes the home feel very spacious.
8,Austin Cisneros,Cox Inc,thomas53@example.net,07 6677 3361,2982,74 Macias Roadway,Sydney,NSW,Penrith,-33.751,150.6949,0,3,5,3,3,"Garage, Bathrooms, Living Space",4,0,The backyard is spacious and perfect for entertaining guests.
19,Jessica Moore,"Aguilar, Delacruz and Smith",amandafernandez@example.net,+61-408-422-598,5634,2 Aaron Key,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,3,5,1,3,"Bathrooms, Living Space",2,0,The balcony offers stunning views of the surrounding area.
1,Paul Scott,Pena-Chang,manuelcarpenter@example.org,+61789588920,2698,06 Rodriguez Court,Sydney,NSW,Manly,-33.7963,151.2875,1,3,5,2,2,Bedrooms,1,1,The open-plan living space makes the home feel very spacious.
2,Melissa Jordan,"Lewis, Garner and Peters",derekmorgan@example.net,+61-406-484-317,2396,250 Malik Junction,Sydney,NSW,Mosman,-33.8295,151.2443,0,2,5,5,3,"Balcony, Price",4,0,The open-plan living space makes the home feel very spacious.
14,Adam Fleming,"Trujillo, Liu and Rodriguez",grantcarr@example.com,97545683,2582,Apt. 178 6 Cook Lees,Sydney,NSW,Bondi,-33.8915,151.2767,1,5,2,1,1,"Neighborhood, Bedrooms",4,1,I love the modern kitchen layout and the high-end appliances.
18,Patricia Sosa,Martinez and Sons,robert91@example.net,9203-1022,2934,050 Morgan Fire Track,Sydney,NSW,Parramatta,-33.814,151.0031,1,5,3,5,2,Kitchen,3,0,"The neighborhood is quiet and family-friendly, which is a big plus."
1,Melanie Hughes,Robinson and Sons,huffmancarolyn@example.com,+61 3 6847 2174,2934,Suite 466 121 Samuel Fairway,Sydney,NSW,Cronulla,-34.0527,151.1523,1,5,1,4,2,"Bathrooms, Balcony",2,0,The open-plan living space makes the home feel very spacious.
4,Brian Barber,Martin PLC,jenniferharvey@example.org,8644 2851,8689,292 Martinez Piazza,Sydney,NSW,Manly,-33.7963,151.2875,1,1,1,5,1,"Bathrooms, Balcony",2,1,"The property is in a great location, close to shops and public transport."
3,Jacqueline Browning,Acosta PLC,weaversarah@example.org,03.9617.6390,2939,4/981 Camacho Causeway,Sydney,NSW,Manly,-33.7963,151.2875,0,5,5,1,3,"Garage, Price, Balcony",5,1,I love the modern kitchen layout and the high-end appliances.
15,Kathleen Wilkerson,"Johnson, Chandler and Chavez",harrisdonna@example.com,+61 3 7836 4851,2684,18 Smith Brace,Sydney,NSW,Cronulla,-34.0527,151.1523,0,3,1,1,2,Price,3,0,"The neighborhood is quiet and family-friendly, which is a big plus."
2,Christopher West,"Bell, Waters and Henderson",tdougherty@example.net,(07)-3661-9309,2630,80 Teresa Byway,Sydney,NSW,Manly,-33.7963,151.2875,0,2,4,4,5,"Bathrooms, Neighborhood, Garage",5,1,"The property is in a great location, close to shops and public transport."
3,John Thompson,Martin-Delacruz,hughesdavid@example.com,+61-3-4441-5560,2941,01/968 Miller Lower,Sydney,NSW,Manly,-33.7963,151.2875,0,1,5,1,4,"Bedrooms, Price, Kitchen",5,0,The balcony offers stunning views of the surrounding area.
9,Judy Liu,"Davis, Daniels and Wagner",michaelwood@example.org,1315 8959,2966,983 Jennifer Fairway,Sydney,NSW,Cronulla,-34.0527,151.1523,0,2,4,2,1,"Bedrooms, Garage, Neighborhood",5,1,I love the modern kitchen layout and the high-end appliances.
1,Christopher Thompson,"Barber, Clark and Rios",christine44@example.net,03-7458-1382,2909,00 Michael Anchorage,Sydney,NSW,Parramatta,-33.814,151.0031,1,2,1,5,2,"Garage, Bedrooms, Bathrooms",2,1,The bedrooms are well-sized and have plenty of natural light.
7,Wayne Shaw,"Martinez, Ramirez and Jackson",woodnathan@example.org,1907 6973,2920,Apt. 196 69 Rhonda Nook,Sydney,NSW,Mosman,-33.8295,151.2443,0,4,4,1,4,"Neighborhood, Price",3,1,The bedrooms are well-sized and have plenty of natural light.
2,Morgan Perez,Bates-Allen,zgraham@example.net,(08)-6346-4061,9821,2 Megan Crossroad,Sydney,NSW,Mosman,-33.8295,151.2443,1,3,4,3,1,"Bedrooms, Neighborhood, Garage",2,1,The price seems reasonable for the area and the amenities offered.
20,Kimberly Hanson,"Johnson, Shaw and Ramirez",michael64@example.org,5758.9605,2695,172 Maxwell Grange,Sydney,NSW,Newtown,-33.8971,151.1796,0,4,5,2,4,"Price, Garage",4,0,"The neighborhood is quiet and family-friendly, which is a big plus."
7,Todd Walker,Neal-Perez,mullinstina@example.net,+61 7 0920 9992,2809,65 Clark Highway,Sydney,NSW,Newtown,-33.8971,151.1796,0,1,5,3,5,"Kitchen, Garage, Neighborhood",3,1,"The property is in a great location, close to shops and public transport."
16,Noah Lester,"Willis, Lee and Brown",joanne00@example.com,(03)43171211,5474,682 Patricia Firetrail,Sydney,NSW,Penrith,-33.751,150.6949,0,3,3,1,2,Bedrooms,3,0,"The property is in a great location, close to shops and public transport."
2,Mrs. Sabrina Dennis,Merritt and Sons,palmerrichard@example.com,+61.487.173.042,2739,Flat 70 3 Harold Colonnade,Sydney,NSW,Liverpool,-33.9175,150.9244,0,3,1,3,1,"Kitchen, Bathrooms",4,0,The price seems reasonable for the area and the amenities offered.
1,Andrew Ford,Campbell-Acosta,robertjones@example.org,(03).9739.6375,7517,Level 9 869 Pierce Edge,Sydney,NSW,Bondi,-33.8915,151.2767,0,4,4,4,4,Garage,2,0,The bedrooms are well-sized and have plenty of natural light.
20,Sarah Baxter,"Reeves, Martinez and Jackson",ywheeler@example.org,(03)-6841-7530,2920,9 Morales Artery,Sydney,NSW,Penrith,-33.751,150.6949,0,2,2,4,2,"Bedrooms, Kitchen",3,0,I love the modern kitchen layout and the high-end appliances.
12,Eric Ruiz,"Shannon, Thompson and Bowers",prattcameron@example.org,+61-406-290-768,8038,936 Russo Amble,Sydney,NSW,Penrith,-33.751,150.6949,0,3,3,5,4,"Price, Kitchen",3,0,I love the modern kitchen layout and the high-end appliances.
10,Joseph Vaughn DVM,"Mitchell, Wilson and Cook",tristanabbott@example.org,0480-505-054,2606,Flat 08 02 Ashley Link,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,4,4,5,1,"Balcony, Neighborhood",3,1,"The property is in a great location, close to shops and public transport."
8,Jennifer Trujillo,Howard LLC,cassandrahardy@example.org,4080.0017,0268,Apt. 614 532 Ronald Centreway,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,4,1,1,2,Neighborhood,4,1,I love the modern kitchen layout and the high-end appliances.
14,Traci Frazier,"Owens, Gardner and Henderson",michaelphillips@example.net,+61 407 813 302,2990,3/4 King Right Of Way,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,2,1,5,3,"Balcony, Living Space, Neighborhood",2,1,"The neighborhood is quiet and family-friendly, which is a big plus."
19,Louis Brown,Chen-Perez,anthonyhansen@example.net,(02) 0761 1181,3127,798 Ortiz Estate,Sydney,NSW,Mosman,-33.8295,151.2443,0,4,1,3,3,"Bedrooms, Price",2,0,The balcony offers stunning views of the surrounding area.
19,Debbie Clark,Park-Jackson,sarahknox@example.net,+61 492 855 700,2679,625 Mary Gully,Sydney,NSW,Chatswood,-33.7969,151.1832,1,1,1,3,2,"Neighborhood, Bathrooms, Living Space",2,1,"The property is in a great location, close to shops and public transport."
20,Suzanne Murray,Montes-Morse,allenmatthew@example.org,+61-481-303-558,8375,59 Atkins Courtyard,Sydney,NSW,Newtown,-33.8971,151.1796,0,3,4,1,4,Living Space,4,1,"The property is in a great location, close to shops and public transport."
1,Ms. Lisa Sawyer,Delgado Group,stephaniewilson@example.org,08837017,2684,632 Rodriguez Ground,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,3,1,1,1,"Kitchen, Garage",3,1,I love the modern kitchen layout and the high-end appliances.
19,Andrew Oneill,Russell Group,renee62@example.org,0453-598-090,2641,Level 0 284 Martin Thoroughfare,Sydney,NSW,Penrith,-33.751,150.6949,0,1,3,3,1,"Price, Bedrooms",1,1,The bedrooms are well-sized and have plenty of natural light.
1,Marie Williams,Fox-Clark,ramirezjohn@example.org,88237967,6385,Apt. 167 4 Bullock Glen,Sydney,NSW,Bondi,-33.8915,151.2767,1,2,5,1,4,Neighborhood,3,1,"The property is in a great location, close to shops and public transport."
17,Kimberly Nicholson,"Nielsen, Gould and Jefferson",yrich@example.com,+61 429 040 051,2696,246 Owens Artery,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,5,2,2,3,Neighborhood,1,0,The price seems reasonable for the area and the amenities offered.
12,Michael Nunez,Harper and Sons,zimmermanjose@example.org,0400.172.186,2918,807 Robert Link,Sydney,NSW,Bondi,-33.8915,151.2767,1,5,1,5,4,"Price, Balcony",1,0,The price seems reasonable for the area and the amenities offered.
2,Eric Aguirre III,Sullivan PLC,matthew06@example.org,+61 466 994 175,2491,Apt. 861 1 Hooper Quadrant,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,4,2,5,4,"Garage, Kitchen",4,1,The bedrooms are well-sized and have plenty of natural light.
20,Tyler Mayer,Gonzalez Group,jessicarodriguez@example.net,+61.411.870.431,6428,Flat 75 4 Baxter Bend,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,1,5,3,2,"Bedrooms, Bathrooms, Neighborhood",3,1,The backyard is spacious and perfect for entertaining guests.
3,Rebecca Adams,Martin-Sanders,jesus25@example.net,(08)-1392-2749,2609,450/705 Elijah Slope,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,1,5,2,1,"Neighborhood, Bedrooms",2,1,"The property is in a great location, close to shops and public transport."
16,Joshua Mckenzie,"Holder, Wilkinson and Lowe",karenstewart@example.net,0809127175,2920,683 Patrick Trunkway,Sydney,NSW,Penrith,-33.751,150.6949,0,4,2,4,4,"Garage, Living Space",4,1,The backyard is spacious and perfect for entertaining guests.
17,Elizabeth Martin,"Cunningham, Carter and Hayes",sherrimiller@example.net,07-6608-0578,0258,Unit 47 507 Timothy Grange,Sydney,NSW,Parramatta,-33.814,151.0031,0,5,5,1,3,"Price, Bedrooms, Living Space",1,0,I love the modern kitchen layout and the high-end appliances.
15,Megan Baker,Gill-Collins,agill@example.org,03-5073-8413,2667,Suite 496 6 David Avenue,Sydney,NSW,Parramatta,-33.814,151.0031,0,3,5,5,4,Bedrooms,2,1,The open-plan living space makes the home feel very spacious.
4,Cameron Bailey,"Harding, Vang and Washington",rmaddox@example.org,0499-821-519,2855,95 Willis Thoroughfare,Sydney,NSW,Chatswood,-33.7969,151.1832,1,4,1,2,1,"Kitchen, Price, Neighborhood",1,0,I love the modern kitchen layout and the high-end appliances.
2,Kristen Garcia,Armstrong-Potter,nsherman@example.com,03 1627 6599,2982,7 Mitchell Trailer,Sydney,NSW,Newtown,-33.8971,151.1796,0,5,2,4,1,Garage,5,0,The price seems reasonable for the area and the amenities offered.
13,Samantha Gonzalez,Curry-Walker,qestrada@example.org,0484.834.645,1919,9 Hampton Parklands,Sydney,NSW,Mosman,-33.8295,151.2443,0,4,1,4,4,"Price, Living Space, Bathrooms",4,1,The backyard is spacious and perfect for entertaining guests.
7,Chad Cruz,"Stafford, Palmer and Graham",xnicholson@example.org,08.8980.2506,2625,559 Linda Bypass,Sydney,NSW,Penrith,-33.751,150.6949,0,1,4,1,2,Living Space,5,0,The open-plan living space makes the home feel very spacious.
4,Karen Johnston,Dyer Ltd,teresa90@example.com,89965088,2660,5 Phillip Common,Sydney,NSW,Newtown,-33.8971,151.1796,0,1,2,2,4,"Living Space, Neighborhood",4,1,The price seems reasonable for the area and the amenities offered.
1,Heather Lewis,Peters-Cooper,smithchristopher@example.net,(03)-3441-3116,2618,Flat 53 202 Raymond Break,Sydney,NSW,Parramatta,-33.814,151.0031,1,3,2,2,3,"Bathrooms, Price, Bedrooms",5,0,"The property is in a great location, close to shops and public transport."
1,Kimberly Simpson,"Barton, Perez and Knapp",william37@example.org,+61-7-0780-3424,2969,7 Julie Place,Sydney,NSW,Bondi,-33.8915,151.2767,1,3,5,4,5,Balcony,2,0,The balcony offers stunning views of the surrounding area.
9,Raymond Burke,Flores Inc,martinchristopher@example.org,08 3507 7202,2641,881 Juan Alleyway,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,5,5,3,2,"Bedrooms, Garage",3,1,The bedrooms are well-sized and have plenty of natural light.
8,Bryan Perez,Evans Inc,mhickman@example.net,6768-9278,2924,67 Timothy Ridge,Sydney,NSW,Chatswood,-33.7969,151.1832,1,2,3,3,4,"Living Space, Garage",4,1,The bedrooms are well-sized and have plenty of natural light.
12,Paul Carroll,Gilbert-Haney,onelson@example.com,(02).3113.3300,2477,536/23 Jackie Trailer,Sydney,NSW,Parramatta,-33.814,151.0031,1,3,2,2,4,Price,2,0,The backyard is spacious and perfect for entertaining guests.
3,Julie Fowler,Mccann-Rivera,jackie95@example.net,+61 426 998 054,2650,6 Rodney Causeway,Sydney,NSW,Mosman,-33.8295,151.2443,0,3,3,2,3,"Bedrooms, Neighborhood, Balcony",2,1,"The neighborhood is quiet and family-friendly, which is a big plus."
9,Nicholas Taylor,Goodwin-Mcpherson,michaelevans@example.org,+61-496-525-674,2168,5 Allen Fire Track,Sydney,NSW,Liverpool,-33.9175,150.9244,0,3,5,3,3,"Living Space, Garage",3,0,The price seems reasonable for the area and the amenities offered.
15,Alexandria Wu,"Davis, Graves and Davis",shelby83@example.org,+61 422 739 615,2621,Flat 94 6 Warren Beach,Sydney,NSW,Cronulla,-34.0527,151.1523,1,3,4,4,2,"Bathrooms, Neighborhood, Balcony",3,0,The backyard is spacious and perfect for entertaining guests.
1,Eric Cook,Evans Inc,nabbott@example.net,+61-8-8434-6133,2680,879 Carrillo Link,Sydney,NSW,Mosman,-33.8295,151.2443,1,5,2,3,1,"Price, Bathrooms",4,0,The balcony offers stunning views of the surrounding area.
2,Karen Perez,Vazquez PLC,evargas@example.net,(03) 3696 9578,2990,291 Jacob Crossway,Sydney,NSW,Liverpool,-33.9175,150.9244,0,4,1,3,3,"Neighborhood, Kitchen",4,0,The price seems reasonable for the area and the amenities offered.
19,Eric Knox,Rojas and Sons,pcontreras@example.net,+61 2 2024 6680,0826,5/42 Michelle Gap,Sydney,NSW,Liverpool,-33.9175,150.9244,1,4,1,1,3,"Balcony, Neighborhood, Price",1,1,The backyard is spacious and perfect for entertaining guests.
12,Todd Powers,Martinez Ltd,jesse95@example.org,0497 056 498,2926,132/26 John Triangle,Sydney,NSW,Manly,-33.7963,151.2875,0,5,1,4,3,"Bedrooms, Living Space, Balcony",1,0,The balcony offers stunning views of the surrounding area.
3,Destiny Ellis,Fisher-Walker,amy41@example.net,3295-1805,2961,Flat 41 4 Ramirez Basin,Sydney,NSW,Cronulla,-34.0527,151.1523,1,1,3,2,3,"Price, Neighborhood, Garage",1,0,The backyard is spacious and perfect for entertaining guests.
10,Brian Mccormick,"Warner, Burke and Moon",hgarcia@example.org,02 6858 3417,2632,497 Ortega Common,Sydney,NSW,Mosman,-33.8295,151.2443,0,5,3,1,2,"Living Space, Price",2,0,The balcony offers stunning views of the surrounding area.
5,Alexander Small,"Jackson, Johnson and Brown",carolsmith@example.org,+61-8-1427-3409,5368,7 Joshua Route,Sydney,NSW,Parramatta,-33.814,151.0031,0,5,5,2,2,Living Space,4,1,The price seems reasonable for the area and the amenities offered.
2,Christopher Berg II,"Cruz, Brown and Munoz",villaashley@example.com,6480 1942,2994,8 King Cul-de-sac,Sydney,NSW,Chatswood,-33.7969,151.1832,0,1,4,3,5,"Bedrooms, Balcony, Garage",3,1,"The property is in a great location, close to shops and public transport."
17,Arthur Patrick,Parker-Davis,jacobsantiago@example.org,03.0961.3287,4833,540/862 Garza Roadside,Sydney,NSW,Chatswood,-33.7969,151.1832,1,2,4,2,5,"Bathrooms, Price",4,0,The open-plan living space makes the home feel very spacious.
10,Kristen Miller,Howard Ltd,sarahthomas@example.org,3349.3298,2611,Apt. 879 2 Foster Meander,Sydney,NSW,Chatswood,-33.7969,151.1832,0,1,1,1,2,"Garage, Neighborhood",5,0,The balcony offers stunning views of the surrounding area.
4,Sharon Baker,Johnson-Ferrell,barnesmegan@example.org,0437.724.895,6980,Flat 32 67 Lee Round,Sydney,NSW,Penrith,-33.751,150.6949,0,2,3,5,4,"Kitchen, Bedrooms, Balcony",2,1,I love the modern kitchen layout and the high-end appliances.
16,Samuel Mcguire,Carter-Roberts,alexanderherrera@example.com,0416-923-195,2186,47 Christian Entrance,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,1,4,1,5,"Bedrooms, Balcony, Price",1,0,"The property is in a great location, close to shops and public transport."
9,Sara Williams,Moore-Johnson,rileybaker@example.org,+61.465.934.806,2685,3 Nunez Trunkway,Sydney,NSW,Bondi,-33.8915,151.2767,1,1,4,4,3,"Price, Bedrooms, Bathrooms",1,1,"The neighborhood is quiet and family-friendly, which is a big plus."
15,Zachary Woodward,Richardson-Franklin,wnewman@example.org,02 3001 5070,2658,Unit 95 509 Higgins Dell,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,2,3,2,3,"Garage, Living Space, Kitchen",4,0,The open-plan living space makes the home feel very spacious.
12,Jeremy Mendoza,Yang-Taylor,christopher20@example.org,0403.081.578,2608,Apt. 357 216 Patricia Green,Sydney,NSW,Chatswood,-33.7969,151.1832,1,4,3,4,1,"Living Space, Balcony",3,1,I love the modern kitchen layout and the high-end appliances.
12,Leah Barber,Robinson-Moore,pruittcaleb@example.org,+61 3 1631 2661,2081,577/25 Sarah Chase,Sydney,NSW,Bondi,-33.8915,151.2767,1,1,1,1,3,"Kitchen, Bedrooms",2,1,The price seems reasonable for the area and the amenities offered.
16,Angelica Hill,Nguyen-Ortega,mbates@example.net,02.2084.0225,2637,7 Diane Driveway,Sydney,NSW,Parramatta,-33.814,151.0031,0,2,5,2,1,Bedrooms,2,1,"The neighborhood is quiet and family-friendly, which is a big plus."
20,William Howell,Palmer Group,jodi57@example.org,03211547,2923,25 Natalie Driveway,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,3,3,2,4,"Balcony, Living Space",5,1,The balcony offers stunning views of the surrounding area.
19,Lindsey Kelly,Hunter-Molina,jwagner@example.net,8048-5242,2168,35 Heidi Rest,Sydney,NSW,Cronulla,-34.0527,151.1523,0,5,2,3,3,Price,5,1,"The neighborhood is quiet and family-friendly, which is a big plus."
8,Deborah Flores,"Owens, Whitehead and Johnson",benjaminhernandez@example.org,(07) 3110 8261,3625,1 Carroll End,Sydney,NSW,Bondi,-33.8915,151.2767,1,3,4,4,3,Balcony,4,1,"The neighborhood is quiet and family-friendly, which is a big plus."
